단어,뜻,출처,레벨,쓰이는장면
support,support·날씨,기존,레벨1,산악 응급치료소
treat,돌보아 주다,기존,레벨2,산악 응급치료소
bless,축복하다,신규,레벨2,폭우 뒤 마을식당
favor,호의,신규,레벨2,폭우 뒤 마을식당
forgive,용서하다,기존,레벨2,폭우 뒤 마을식당
lead,이끌다,신규,레벨1,폭우 뒤 마을식당
serve,대접하다,신규,레벨1,폭우 뒤 마을식당
alcohol,술,기존,레벨2,폭우 뒤 마을식당
beer,맥주,기존,레벨1,폭우 뒤 마을식당
apply,갖다 쓰다,기존,레벨1,외줄 구조 연습
attempt,시도,기존,레벨1,외줄 구조 연습
balance,공중 비행 균형,기존,레벨2,외줄 구조 연습
challenge,도전,신규,레벨1,외줄 구조 연습
cope,헤쳐 나가다,기존,레벨2,외줄 구조 연습
effort,노력,신규,레벨1,외줄 구조 연습
repeat,되풀이하다,기존,레벨1,외줄 구조 연습
risk,위험,신규,레벨2,외줄 구조 연습
dare,감히 하다,기존,레벨2,제방 수문 관제
deal,다루다,기존,레벨1,제방 수문 관제
handle,손잡이,기존,레벨1,제방 수문 관제
manage,관리하다,신규,레벨1,제방 수문 관제
operate,다루다,기존,레벨1,제방 수문 관제
perform,공연하다,기존,레벨1,제방 수문 관제
process,과정,신규,레벨2,제방 수문 관제
quit,그만두다,기존,레벨1,제방 수문 관제
react,반응하다,신규,레벨2,제방 수문 관제
blank,빈,신규,레벨1,도자기 형태 진열대
empty,비어 있는,기존,레벨1,도자기 형태 진열대
flat,평평한 바닥면,기존,레벨1,도자기 형태 진열대
pattern,무늬,기존,레벨2,도자기 형태 진열대
plain,평원,기존,레벨2,도자기 형태 진열대
pure,순수한 꿀,기존,레벨2,도자기 형태 진열대
smooth,매끄러운,기존,레벨1,도자기 형태 진열대
solid,단단한,기존,레벨2,도자기 형태 진열대
broad,드넓은,기존,레벨2,팽창하는 관측 풍선
enormous,거대한,기존,레벨1,팽창하는 관측 풍선
expand,벌어지다,기존,레벨2,팽창하는 관측 풍선
giant,거대한,기존,레벨2,팽창하는 관측 풍선
huge,거대한,기존,레벨2,팽창하는 관측 풍선
scale,양팔 저울,기존,레벨1,팽창하는 관측 풍선
wide,넓은,기존,레벨1,팽창하는 관측 풍선
yet,아직,기존,레벨1,팽창하는 관측 풍선
figure,형상,기존,레벨1,정원의 도형 수로
grand,웅장한,기존,레벨2,정원의 도형 수로
narrow,좁은,기존,레벨2,정원의 도형 수로
neat,가지런한,기존,레벨2,정원의 도형 수로
round,둥근 곡선,기존,레벨1,정원의 도형 수로
shape,모양새,기존,레벨1,정원의 도형 수로
tiny,아주 작은,기존,레벨2,정원의 도형 수로
triangle,세모,기존,레벨2,정원의 도형 수로
loose,느슨한,기존,레벨1,재료 두께 시험대
rough,거친,기존,레벨2,재료 두께 시험대
sharp,날카로운 칼날,기존,레벨2,재료 두께 시험대
super,아주 큰,기존,레벨1,재료 두께 시험대
thick,두꺼운,기존,레벨1,재료 두께 시험대
thin,가느다란,기존,레벨1,재료 두께 시험대
tight,단단한,기존,레벨1,재료 두께 시험대
volume,부피,기존,레벨2,재료 두께 시험대
advantage,이로운 점,기존,레벨1,개량된 빗물 저장고
benefit,이익,기존,레벨2,개량된 빗물 저장고
correct,맞는,기존,레벨1,개량된 빗물 저장고
fair,공정한,신규,레벨1,개량된 빗물 저장고
fortunate,운 좋은,기존,레벨2,개량된 빗물 저장고
improve,나아지게 하다,기존,레벨1,개량된 빗물 저장고
increase,늘다,신규,레벨1,개량된 빗물 저장고
necessary,꼭 필요한,기존,레벨1,개량된 빗물 저장고
practical,실용적인,신규,레벨2,개량된 빗물 저장고
capable,할 수 있는,신규,레벨2,결함품 선별대
ease,쉬움,기존,레벨2,결함품 선별대
fault,잘못,기존,레벨1,결함품 선별대
fortune,행운,신규,레벨1,결함품 선별대
perfect,완벽한,신규,레벨1,결함품 선별대
proper,알맞은,신규,레벨1,결함품 선별대
quality,질,기존,레벨1,결함품 선별대
reduce,줄이다,신규,레벨2,결함품 선별대
terrible,끔찍한,기존,레벨1,결함품 선별대
able,할 수 있는,기존,레벨2,단순 도르래의 힘
complex,복잡한,신규,레벨2,단순 도르래의 힘
complicate,복잡하게 하다,기존,레벨2,단순 도르래의 힘
simple,단순한,기존,레벨1,단순 도르래의 힘
still,가만히,기존,레벨1,단순 도르래의 힘
tough,힘든,신규,레벨2,단순 도르래의 힘
adapt,적응하다,기존,레벨2,새 환경의 식물
adopt,받아들이다,기존,레벨2,새 환경의 식물
alter,바꾸다,신규,레벨2,새 환경의 식물
compare,견주다,기존,레벨1,새 환경의 식물
familiar,익숙한,신규,레벨1,새 환경의 식물
match,짝을 맞추다,기존,레벨1,새 환경의 식물
similar,비슷한,기존,레벨1,새 환경의 식물
vary,다채롭다,기존,레벨2,새 환경의 식물
category,갈래,신규,레벨2,광물 분류함
definite,단단한 껍질,기존,레벨2,광물 분류함
equal,같은,기존,레벨2,광물 분류함
odd,특이한 무늬,기존,레벨2,광물 분류함
pair,한 쌍,기존,레벨1,광물 분류함
separate,가지에서 떨어지다,기존,레벨1,광물 분류함
sort,종류,기존,레벨2,광물 분류함
specific,특이한 모습,기존,레벨1,광물 분류함
real,진짜의,기존,레벨1,흔들림 시험대
regular,고르게 늘어선,기존,레벨1,흔들림 시험대
shift,옮기다,기존,레벨2,흔들림 시험대
single,한 포기,기존,레벨1,흔들림 시험대
stable,안정된 구조,기존,레벨2,흔들림 시험대
steady,안정된·정박한,기존,레벨2,흔들림 시험대
unit,낱개,기존,레벨1,흔들림 시험대
amount,양,기존,레벨2,저수지 수량 결산
average,평균,기존,레벨1,저수지 수량 결산
bit,조금,기존,레벨1,저수지 수량 결산
complete,다 갖춘,기존,레벨1,저수지 수량 결산
entire,전체의,신규,레벨2,저수지 수량 결산
maximum,최대의,신규,레벨2,저수지 수량 결산
range,범위,신규,레벨1,저수지 수량 결산
sample,표본,기존,레벨1,저수지 수량 결산
sum,합계,기존,레벨1,저수지 수량 결산
total,전체,기존,레벨2,저수지 수량 결산
extra,덤의,기존,레벨1,광석 선별의 양끝
intense,격렬한,기존,레벨2,광석 선별의 양끝
limit,한계,신규,레벨2,광석 선별의 양끝
major,주요한,기존,레벨1,광석 선별의 양끝
mass,덩어리,기존,레벨2,광석 선별의 양끝
minor,작은 쪽의,기존,레벨2,광석 선별의 양끝
prime,으뜸의,기존,레벨2,광석 선별의 양끝
rare,드문·희귀한,기존,레벨2,광석 선별의 양끝
rate,비율,신규,레벨1,광석 선별의 양끝
few,적은,신규,레벨1,비상창고의 남은 몫
lot,많음,신규,레벨1,비상창고의 남은 몫
none,하나도 없음,신규,레벨2,비상창고의 남은 몫
piece,조각,기존,레벨1,비상창고의 남은 몫
plenty,넉넉함,기존,레벨1,비상창고의 남은 몫
quite,꽤,신규,레벨1,비상창고의 남은 몫
several,여럿의,기존,레벨1,비상창고의 남은 몫
slight,약간의,신규,레벨2,비상창고의 남은 몫
spare,여분의,기존,레벨2,비상창고의 남은 몫
annual,해마다의,기존,레벨2,도시나무의 세월
calendar,달력,기존,레벨1,도시나무의 세월
century,백 년,기존,레벨1,도시나무의 세월
event,일어난 일,기존,레벨1,도시나무의 세월
occasion,경우,신규,레벨2,도시나무의 세월
once,한 번,신규,레벨1,도시나무의 세월
past,과거,신규,레벨1,도시나무의 세월
recent,최근의,신규,레벨1,도시나무의 세월
term,기간,신규,레벨2,도시나무의 세월
constant,변함없는,기존,레벨2,출발 지연 관제판
continue,계속하다,기존,레벨1,출발 지연 관제판
delay,미루다,기존,레벨1,출발 지연 관제판
due,~하기로 된,기존,레벨1,출발 지연 관제판
forever,영원히,기존,레벨1,출발 지연 관제판
immediate,곧바로의,기존,레벨2,출발 지연 관제판
instant,즉각적인,신규,레벨1,출발 지연 관제판
minute,분,신규,레벨1,출발 지연 관제판
pause,멈춤,신규,레벨2,출발 지연 관제판
extend,뻗어나가다,기존,레벨2,기후자료의 변화
nowadays,요즘,신규,레벨1,기후자료의 변화
period,기간,신규,레벨1,기후자료의 변화
previous,앞선,기존,레벨2,기후자료의 변화
rapid,빠른,신규,레벨2,기후자료의 변화
remain,그대로 있다,기존,레벨1,기후자료의 변화
series,연속,신규,레벨2,기후자료의 변화
soon,곧,신규,레벨1,기후자료의 변화
sudden,갑작스러운,기존,레벨1,기후자료의 변화
absolute,완전한,기존,레벨2,천문 관측치 계산
billion,십억,기존,레벨2,천문 관측치 계산
calculate,셈하다,기존,레벨2,천문 관측치 계산
degree,도,기존,레벨1,천문 관측치 계산
level,수평을 이루다,기존,레벨1,천문 관측치 계산
thousand,천,신규,레벨1,천문 관측치 계산
zero,영,신규,레벨1,천문 관측치 계산
count,세다,기존,레벨1,시장 곡물 분배
dozen,열두 개,신규,레벨2,시장 곡물 분배
extreme,극심한,기존,레벨2,시장 곡물 분배
half,반,신규,레벨1,시장 곡물 분배
per,마다,신규,레벨2,시장 곡물 분배
quarter,4분의 1,신규,레벨1,시장 곡물 분배
stuff,물건,기존,레벨1,시장 곡물 분배
weigh,무게를 재다,신규,레벨1,시장 곡물 분배
although,비록 ~이지만,기존,레벨1,협곡의 층별 야영지
among,사이에,기존,레벨1,협곡의 층별 야영지
apart,떨어져,기존,레벨1,협곡의 층별 야영지
aside,옆으로,기존,레벨2,협곡의 층별 야영지
beneath,아래로,기존,레벨2,협곡의 층별 야영지
beyond,저 너머,기존,레벨1,협곡의 층별 야영지
upper,위쪽의,기존,레벨2,협곡의 층별 야영지
within,안에,기존,레벨1,협곡의 층별 야영지
without,~없이,기존,레벨1,협곡의 층별 야영지
forth,앞으로,기존,레벨2,숲길의 진행 표지
forward,앞으로,신규,레벨1,숲길의 진행 표지
internal,안쪽의,기존,레벨2,숲길의 진행 표지
local,지역의,신규,레벨1,숲길의 진행 표지
straight,곧은 박음질,기존,레벨1,숲길의 진행 표지
surround,둘러싸다,기존,레벨2,숲길의 진행 표지
through,통하여,신규,레벨1,숲길의 진행 표지
toward,~을 향하여,기존,레벨1,숲길의 진행 표지
since,~부터,신규,레벨1,밀물 전 바위길
till,~까지,기존,레벨1,밀물 전 바위길
unless,~하지 않으면,기존,레벨2,밀물 전 바위길
until,~까지,신규,레벨1,밀물 전 바위길
upon,~위에,기존,레벨1,밀물 전 바위길
vision,시력,신규,레벨2,밀물 전 바위길
whether,~인지,신규,레벨2,밀물 전 바위길
while,~하는 동안,신규,레벨1,밀물 전 바위길
alive,살아 있는,기존,레벨1,새벽의 수면관찰실
asleep,잠든,기존,레벨1,새벽의 수면관찰실
awake,잠에서 깨어나다,기존,레벨1,새벽의 수면관찰실
aware,알아차린,기존,레벨2,새벽의 수면관찰실
self,자기,기존,레벨1,새벽의 수면관찰실
soul,영혼,기존,레벨2,새벽의 수면관찰실
spirit,정신,기존,레벨2,새벽의 수면관찰실
drug,약,신규,레벨1,해독 치료실
faint,희미한,신규,레벨2,해독 치료실
fever,열,기존,레벨1,해독 치료실
health,건강히 자라다,기존,레벨1,해독 치료실
medicine,약,기존,레벨1,해독 치료실
poison,독성 분비물,기존,레벨2,해독 치료실
rest,머물다,기존,레벨2,해독 치료실
exhaust,기운을 다 쓰다,기존,레벨2,부상 뒤 재활 첫걸음
hurt,다치게 하다,신규,레벨1,부상 뒤 재활 첫걸음
injure,부상을 입히다,신규,레벨1,부상 뒤 재활 첫걸음
medical,의료의,신규,레벨1,부상 뒤 재활 첫걸음
mental,마음의,기존,레벨2,부상 뒤 재활 첫걸음
pain,통증,기존,레벨2,부상 뒤 재활 첫걸음
patient,환자,기존,레벨1,부상 뒤 재활 첫걸음
exist,존재하다,신규,레벨1,임신부의 휴식 정원
ill,아픈,기존,레벨1,임신부의 휴식 정원
mood,분위기·무드,기존,레벨1,임신부의 휴식 정원
pregnant,생명을 품은,기존,레벨2,임신부의 휴식 정원
sense,더듬이 감각,기존,레벨1,임신부의 휴식 정원
suffer,고통받다,신규,레벨2,임신부의 휴식 정원
weak,약한,기존,레벨1,임신부의 휴식 정원
wound,상처,기존,레벨2,임신부의 휴식 정원
affect,영향을 주다,기존,레벨2,바람이 만든 연쇄
cause,원인,신규,레벨1,바람이 만든 연쇄
effect,효과,기존,레벨1,바람이 만든 연쇄
factor,요인,신규,레벨2,바람이 만든 연쇄
result,결과,신규,레벨1,바람이 만든 연쇄
achieve,이루어 내다,기존,레벨1,탐사선의 임무
expect,기대하다,신규,레벨1,탐사선의 임무
function,기능,신규,레벨1,탐사선의 임무
happen,일어나다,신규,레벨1,탐사선의 임무
intend,의도하다,신규,레벨2,탐사선의 임무
intent,의도,신규,레벨2,탐사선의 임무
mission,임무,신규,레벨2,탐사선의 임무
purpose,목적,신규,레벨1,탐사선의 임무
rocket,로켓,신규,레벨2,탐사선의 임무
emphasize,강조하다,신규,레벨2,씨앗 실험의 성패
influence,영향,기존,레벨1,씨앗 실험의 성패
matter,중요하다,기존,레벨1,씨앗 실험의 성패
occur,일어나다,신규,레벨2,씨앗 실험의 성패
potential,가능성,기존,레벨2,씨앗 실험의 성패
role,역할,신규,레벨1,씨앗 실험의 성패
succeed,성공하다,신규,레벨1,씨앗 실험의 성패
success,성공,신규,레벨1,씨앗 실험의 성패
view,전망,기존,레벨1,씨앗 실험의 성패
detail,세부 선묘,기존,레벨1,숨은 벽화의 발견
display,display·우주,기존,레벨1,숨은 벽화의 발견
emotion,감정,기존,레벨2,숨은 벽화의 발견
expose,드러내다,기존,레벨2,숨은 벽화의 발견
feature,날개 모양 특징,기존,레벨1,숨은 벽화의 발견
hide,숨다,기존,레벨1,숨은 벽화의 발견
illustrate,설명하다,신규,레벨2,숨은 벽화의 발견
mark,자국,기존,레벨1,숨은 벽화의 발견
demonstrate,보여 주다,기존,레벨2,증기배관의 누출 표시
indicate,가리키다,기존,레벨1,증기배관의 누출 표시
secret,비밀,기존,레벨1,증기배관의 누출 표시
seem,~처럼 보이다,기존,레벨1,증기배관의 누출 표시
whistle,휘파람,기존,레벨2,증기배관의 누출 표시
band,악단,기존,레벨1,광장 악단의 집합과 해산
bunch,다발,기존,레벨2,광장 악단의 집합과 해산
gather,모으다,기존,레벨1,광장 악단의 집합과 해산
release,놓아주다,기존,레벨1,광장 악단의 집합과 해산
unite,뭉치다,기존,레벨2,광장 악단의 집합과 해산
parade,행진,신규,레벨2,광장 악단의 집합과 해산
background,배경,기존,레벨1,전통시장과 현대상점
circumstance,상황,신규,레벨2,전통시장과 현대상점
domestic,국내의,신규,레벨2,전통시장과 현대상점
fashion,유행,신규,레벨1,전통시장과 현대상점
foreign,외국의,신규,레벨1,전통시장과 현대상점
modern,요즘의,기존,레벨1,전통시장과 현대상점
ordinary,평범한,신규,레벨2,전통시장과 현대상점
popular,인기 있는,신규,레벨1,전통시장과 현대상점
tradition,전통,신규,레벨1,전통시장과 현대상점
obvious,분명한,신규,레벨2,도시 운영 모형
situate,자리잡게 하다,신규,레벨2,도시 운영 모형
social,사회의,신규,레벨1,도시 운영 모형
stage,무대,기존,레벨1,도시 운영 모형
state,상태,신규,레벨1,도시 운영 모형
structure,구조물,기존,레벨1,도시 운영 모형
system,체계,신규,레벨1,도시 운영 모형
version,판,신규,레벨2,도시 운영 모형
bang,쾅 소리,기존,레벨2,항구의 소리 지도
boom,쾅 하는 큰 소리,신규,레벨2,항구의 소리 지도
concert,연주회,기존,레벨1,항구의 소리 지도
loud,소리가 큰,기존,레벨2,항구의 소리 지도
noise,시끄러운 소리,기존,레벨1,항구의 소리 지도
pop,펑 소리,기존,레벨1,항구의 소리 지도
sign,정지 표지판,기존,레벨1,항구의 소리 지도
tone,음조·음색,기존,레벨1,항구의 소리 지도
tune,선율·조율하다,기존,레벨1,항구의 소리 지도
champion,우승자,신규,레벨2,골프 리그 결승
contest,겨루기,기존,레벨1,골프 리그 결승
golf,골프,신규,레벨1,골프 리그 결승
league,연맹,기존,레벨2,골프 리그 결승
physical,몸의,기존,레벨1,골프 리그 결승
cast,던지다,신규,레벨2,왕궁 대관식 홀
castle,성,신규,레벨1,왕궁 대관식 홀
crown,crown·학습,기존,레벨1,왕궁 대관식 홀
presence,곁에 있음,기존,레벨2,왕궁 대관식 홀
purple,보라,기존,레벨1,왕궁 대관식 홀
royal,왕실의,신규,레벨1,왕궁 대관식 홀
character,성격,신규,레벨1,동물구조 자원봉사자
charm,매력,신규,레벨2,동물구조 자원봉사자
cute,귀여운,기존,레벨1,동물구조 자원봉사자
gentle,부드러운,기존,레벨1,동물구조 자원봉사자
secure,안전하게 하다,기존,레벨2,동물구조 자원봉사자
teenage,십대의,신규,레벨1,동물구조 자원봉사자
handsome,잘생긴,신규,레벨1,졸업사진 준비
polite,예의 바른,기존,레벨1,졸업사진 준비
serious,진지한,기존,레벨2,졸업사진 준비
confident,자신 있는,기존,레벨2,졸업사진 준비
smart,영리한,신규,레벨1,졸업사진 준비
wise,슬기로운,신규,레벨1,졸업사진 준비
accident,사고,신규,레벨1,교차로 사고 예방
alarm,경보,신규,레벨1,교차로 사고 예방
ambulance,구급차,신규,레벨2,교차로 사고 예방
avoid,피하다,신규,레벨1,교차로 사고 예방
crisis,위기,신규,레벨2,교차로 사고 예방
prevent,막다,신규,레벨1,교차로 사고 예방
accent,말투,기존,레벨2,화산 관측 브리핑
admit,인정하다,기존,레벨1,화산 관측 브리핑
announce,알리다,기존,레벨2,화산 관측 브리핑
describe,묘사하다,기존,레벨1,화산 관측 브리핑
explain,설명하다,신규,레벨1,화산 관측 브리핑
frankly,솔직히,기존,레벨2,화산 관측 브리핑
inform,알리다,신규,레벨2,화산 관측 브리핑
report,report·날씨,기존,레벨1,화산 관측 브리핑
comment,한마디 하다,기존,레벨2,유물 발견 보고
express,표현하다·연주,기존,레벨1,유물 발견 보고
mention,언급하다,신규,레벨1,유물 발견 보고
pronounce,발음하다,기존,레벨1,유물 발견 보고
quote,인용하다,신규,레벨2,유물 발견 보고
refer,참고하다,신규,레벨1,유물 발견 보고
remark,말하다,신규,레벨2,유물 발견 보고
represent,대표하다,신규,레벨1,유물 발견 보고
argue,따지다,기존,레벨1,두 설계안의 공개토론
claim,주장하다,신규,레벨1,두 설계안의 공개토론
complain,불평하다,기존,레벨1,두 설계안의 공개토론
convince,납득시키다,기존,레벨2,두 설계안의 공개토론
debate,토론,기존,레벨1,두 설계안의 공개토론
deny,아니라고 하다,기존,레벨2,두 설계안의 공개토론
insist,우기다,신규,레벨2,두 설계안의 공개토론
advice,조언,기존,레벨1,산길 구조 요청
advise,조언하다,기존,레벨1,산길 구조 요청
beg,간청하다,신규,레벨1,산길 구조 요청
command,명령,기존,레벨2,산길 구조 요청
hint,귀띔,신규,레벨2,산길 구조 요청
request,요청,신규,레벨1,산길 구조 요청
require,요구하다,신규,레벨2,산길 구조 요청
excuse,변명,신규,레벨1,공방의 정중한 제안
greet,인사하다,신규,레벨1,공방의 정중한 제안
pardon,용서,기존,레벨1,공방의 정중한 제안
promise,약속,신규,레벨1,공방의 정중한 제안
propose,제안하다,기존,레벨2,공방의 정중한 제안
recommend,권하다,기존,레벨2,공방의 정중한 제안
respond,대꾸하다,기존,레벨2,공방의 정중한 제안
suggest,넌지시 말하다,기존,레벨1,공방의 정중한 제안
aloud,소리 내어,기존,레벨2,폭풍 속 무전 지시
chat,이야기 나누다,기존,레벨1,폭풍 속 무전 지시
communicate,뜻을 주고받다,기존,레벨1,폭풍 속 무전 지시
instruct,지시하다,신규,레벨2,폭풍 속 무전 지시
interrupt,말을 끊다,기존,레벨2,폭풍 속 무전 지시
joke,농담,신규,레벨1,폭풍 속 무전 지시
message,전할 말,기존,레벨1,폭풍 속 무전 지시
pretend,~인 척하다,신규,레벨1,폭풍 속 무전 지시
tip,조언,신규,레벨1,폭풍 속 무전 지시
whisper,속삭이다,신규,레벨2,폭풍 속 무전 지시
appeal,호소하다,기존,레벨2,마을 이야기 무대
converse,이야기를 나누다,기존,레벨2,마을 이야기 무대
pray,기도하다,신규,레벨1,마을 이야기 무대
reply,대답하다,신규,레벨1,마을 이야기 무대
scream,비명,기존,레벨1,마을 이야기 무대
sentence,문장,신규,레벨1,마을 이야기 무대
shout,외치다,기존,레벨1,마을 이야기 무대
speech,연설,신규,레벨1,마을 이야기 무대
tale,이야기,기존,레벨2,마을 이야기 무대
yell,고함치다,기존,레벨2,마을 이야기 무대
despite,~에도 불구하고,기존,레벨2,갈림길의 두 선택
either,둘 중 하나,기존,레벨1,갈림길의 두 선택
even,심지어,신규,레벨1,갈림길의 두 선택
except,~을 빼고,기존,레벨1,갈림길의 두 선택
moreover,게다가,기존,레벨2,갈림길의 두 선택
neither,둘 다 아닌,신규,레벨2,갈림길의 두 선택
whole,전체의,신규,레벨1,갈림길의 두 선택
instead,대신에,신규,레벨1,실패 뒤의 대안
let,~하게 하다,신규,레벨1,실패 뒤의 대안
nor,~도 아닌,신규,레벨2,실패 뒤의 대안
otherwise,그렇지 않으면,신규,레벨2,실패 뒤의 대안
ought,마땅히 ~해야 한다,신규,레벨2,실패 뒤의 대안
rather,오히려,신규,레벨1,실패 뒤의 대안
shall,~할 것이다,신규,레벨1,실패 뒤의 대안
altogether,모두 합쳐,기존,레벨2,원인과 결론의 도미노
overall,전체의,기존,레벨2,원인과 결론의 도미노
then,그때,기존,레벨1,원인과 결론의 도미노
therefore,그러므로,기존,레벨1,원인과 결론의 도미노
though,비록,신규,레벨1,원인과 결론의 도미노
thus,그러므로,신규,레벨2,원인과 결론의 도미노
would,~일 것이다,신규,레벨1,원인과 결론의 도미노
access,닿는 길,기존,레벨2,기록보관소 접근등급
account,셈 적은 것,기존,레벨1,기록보관소 접근등급
affair,일,기존,레벨1,기록보관소 접근등급
basis,기초,신규,레벨2,기록보관소 접근등급
brief,짧은,신규,레벨2,기록보관소 접근등급
each,저마다,기존,레벨1,기록보관소 접근등급
exact,정확한 측정,기존,레벨2,기록보관소 접근등급
item,항목,신규,레벨1,기록보관소 접근등급
section,부분,신규,레벨1,기록보관소 접근등급
session,시간,신규,레벨2,기록보관소 접근등급
characteristic,특징,신규,레벨2,식물 표본의 공통점
common,흔한,신규,레벨1,식물 표본의 공통점
conscious,의식하는,기존,레벨2,식물 표본의 공통점
content,담긴 것,기존,레벨2,식물 표본의 공통점
especial,특별한,기존,레벨2,식물 표본의 공통점
interest,관심,신규,레벨1,식물 표본의 공통점
main,주된,기존,레벨2,식물 표본의 공통점
paragraph,문단,기존,레벨1,식물 표본의 공통점
particular,특정한,기존,레벨2,식물 표본의 공통점
which,어느 것,기존,레벨1,식물 표본의 공통점
final,마지막의,신규,레벨1,탐사구역 최종판정
general,두루 쓰이는,기존,레벨2,탐사구역 최종판정
instance,예,신규,레벨2,탐사구역 최종판정
manner,방식,신규,레벨1,탐사구역 최종판정
maybe,아마도,신규,레벨1,탐사구역 최종판정
mean,뜻하다,신규,레벨1,탐사구역 최종판정
nowhere,아무데도 없는,신규,레벨2,탐사구역 최종판정
perhaps,아마,신규,레벨1,탐사구역 최종판정
possible,있을 수 있는,기존,레벨1,탐사구역 최종판정
else,그 밖에,기존,레벨1,여러 재료의 강도범위
ever,언제든,신규,레벨1,여러 재료의 강도범위
indeed,참으로,기존,레벨1,여러 재료의 강도범위
other,다른,신규,레벨1,여러 재료의 강도범위
plus,더하기,기존,레벨1,여러 재료의 강도범위
probable,있음직한,신규,레벨2,여러 재료의 강도범위
somewhat,다소,신규,레벨2,여러 재료의 강도범위
such,그런,신규,레벨1,여러 재료의 강도범위
various,여러 가지의,신규,레벨2,여러 재료의 강도범위
grab,붙잡다,기존,레벨2,화물 묶기 작업
lift,들어올리다,기존,레벨2,화물 묶기 작업
load,싣다,기존,레벨1,화물 묶기 작업
pack,짐을 싸다,기존,레벨1,화물 묶기 작업
pull,끌어당기다,기존,레벨1,화물 묶기 작업
press,눌러 찍다,기존,레벨2,화물 묶기 작업
tie,단단히 묶다,기존,레벨1,화물 묶기 작업
twist,비틀다,기존,레벨2,화물 묶기 작업
wrap,싸다,기존,레벨2,화물 묶기 작업
knock,두드리다,신규,레벨1,작업대의 여러 손동작
pitch,음높이,신규,레벨2,작업대의 여러 손동작
punch,구멍 뚫다,기존,레벨2,작업대의 여러 손동작
rub,문지르다,기존,레벨2,작업대의 여러 손동작
scratch,긁다,신규,레벨2,작업대의 여러 손동작
stir,젓다,기존,레벨2,작업대의 여러 손동작
sweep,쓸고 지나가다,기존,레벨2,작업대의 여러 손동작
throw,던지다,신규,레벨1,작업대의 여러 손동작
wipe,닦다,기존,레벨2,작업대의 여러 손동작
bite,물다,기존,레벨1,빙판 구조 이동
bounce,튀다,기존,레벨2,빙판 구조 이동
bump,부딪히다,기존,레벨2,빙판 구조 이동
crawl,기어가다,기존,레벨2,빙판 구조 이동
drag,끌다,기존,레벨2,빙판 구조 이동
gesture,날갯짓,기존,레벨2,빙판 구조 이동
lay,놓이다,기존,레벨2,빙판 구조 이동
lean,가지에 앉다,기존,레벨2,빙판 구조 이동
bow,절하다,신규,레벨2,모래언덕 추격
chase,먹이를 쫓다,기존,레벨2,모래언덕 추격
dig,파다,기존,레벨1,모래언덕 추격
hug,껴안다,기존,레벨1,모래언덕 추격
motion,움직임,신규,레벨2,모래언덕 추격
raise,높이다,기존,레벨1,모래언덕 추격
rush,빠르게 날다,기존,레벨1,모래언덕 추격
shoot,쏘다,신규,레벨1,모래언덕 추격
roll,구르다,기존,레벨1,체조 회전 연습
shake,흔들다,신규,레벨1,체조 회전 연습
slide,미끄러지다,기존,레벨1,체조 회전 연습
slip,미끄러지다,기존,레벨2,체조 회전 연습
spin,돌다,기존,레벨2,체조 회전 연습
step,발판,기존,레벨1,체조 회전 연습
stretch,뻗다,기존,레벨2,체조 회전 연습
swing,흔들리다,기존,레벨2,체조 회전 연습
atmosphere,대기,기존,레벨2,계절 관측 돔
blow,불다,기존,레벨1,계절 관측 돔
climate,기후,기존,레벨2,계절 관측 돔
fog,안개,기존,레벨1,계절 관측 돔
freeze,얼다,기존,레벨1,계절 관측 돔
melt,녹다,기존,레벨2,계절 관측 돔
steam,김,기존,레벨2,계절 관측 돔
storm,폭풍,기존,레벨1,계절 관측 돔
temperature,온도,기존,레벨1,계절 관측 돔
heaven,하늘,기존,레벨2,계절 관측 돔
county,고을,기존,레벨2,골짜기의 마을 지도
district,모이통 구역,기존,레벨2,골짜기의 마을 지도
region,지역,기존,레벨2,골짜기의 마을 지도
site,유적터,기존,레벨1,골짜기의 마을 지도
valley,계곡,기존,레벨1,골짜기의 마을 지도
pollute,오염시키다,기존,레벨1,골짜기의 마을 지도
flame,불꽃,기존,레벨2,비 갠 저녁의 관측 캠프
smoke,연기,기존,레벨1,비 갠 저녁의 관측 캠프
planet,행성,기존,레벨1,비 갠 저녁의 관측 캠프
rainbow,무지개,기존,레벨2,비 갠 저녁의 관측 캠프
grace,우아한 자태,기존,레벨1,비 갠 저녁의 관측 캠프
chip,조각,기존,레벨2,비 갠 저녁의 관측 캠프
species,종,기존,레벨2,비 갠 저녁의 관측 캠프
bury,땅에 파묻다,기존,레벨1,씨앗 보관 정원
shut,꽉 닫다,기존,레벨1,씨앗 보관 정원
spread,퍼지다,기존,레벨1,씨앗 보관 정원
trap,덫,기존,레벨1,씨앗 보관 정원
bean,콩,기존,레벨1,균형 식탁 저울
crisp,바삭바삭한,기존,레벨1,균형 식탁 저울
diet,먹는 것 조절,기존,레벨1,균형 식탁 저울
honey,달콤한 꿀,기존,레벨1,균형 식탁 저울
hunger,배고픔,기존,레벨2,균형 식탁 저울
lemon,레몬,기존,레벨1,균형 식탁 저울
meal,식사,기존,레벨1,균형 식탁 저울
nut,견과,기존,레벨2,균형 식탁 저울
pie,파이,기존,레벨2,균형 식탁 저울
sour,신 맛의,기존,레벨2,균형 식탁 저울
mushroom,버섯,기존,레벨1,시장 바구니의 맛
